Group_ID,Video_Index,Room,Session,Performer,Video_Name, Frame_Num
1078,1098,62445428078510500,62445423897365200,55260010820676600,62445423897365286-55260010820676628r1471398333.m3u8.mp4,1562
1078,1098,62445428078510500,62445423897365200,55260010820676600,62445423897365286-55260010820676628r1471398473.m3u8.mp4,11826
1078,1098,62445428078510500,62445423897365200,55260010820676600,62445423897365286-55260010820676628r1471399592.m3u8.mp4,503
1078,1098,62445428078510500,62445423897365200,55260010820676600,62445423897365286-55260010820676628r1471399653.m3u8.mp4,9033
1078,1098,62445428078510500,62445423897365200,55260010820676600,62445423897365286-55260010820676628r1471400562.m3u8.mp4,4785
1079,1099,62445547607785900,62445530344594200,50723234246563800,62445530344594261-50723234246563853r1471398383.m3u8.mp4,128914
1080,1100,62446419041554900,62446418507342600,47682196185552100,62446418507342613-47682196185552116r1471398807.m3u8.mp4,36566
1081,1101,62446423695135200,62446423337081600,51613980927465700,62446423337081689-51613980927465734r1471398809.m3u8.mp4,5623
1082,1102,62450640585458100,62450639780715300,31045571313558700,62450639780715374-31045571313558736r1471400820.m3u8.mp4,27906
1083,1103,62451931760001500,62451931582314200,53272535766146600,62451931582314281-53272535766146639r1471401436.m3u8.mp4,17360
1084,1104,62452879265866200,62452879016867600,53782875536890400,62452879016867627-53782875536890474r1471401888.m3u8.mp4,105581
1085,1105,62453261767516600,62453257376645400,54874951441714700,62453257376645478-54874951441714704r1471402068.m3u8.mp4,4464
1086,1106,62453743441383900,62453738129858300,54359981935315800,62453738129858399-54359981935315870r1471402297.m3u8.mp4,8267
1087,1107,62456279365816800,62456263755179300,54874951441714700,62456263755179360-54874951441714704r1471403502.m3u8.mp4,136
1088,1108,62456402141483500,62456398054696200,54874951441714700,62456398054696290-54874951441714704r1471403566.m3u8.mp4,218
1089,1109,62456871643480600,62456868265543500,52868343920602700,62456868265543532-52868343920602753r1471403790.m3u8.mp4,60104
1090,1110,62457195928199600,62457191688320800,54874951441714700,62457191688320827-54874951441714704r1471403944.m3u8.mp4,11959
1090,1110,62457195928199600,62457191688320800,54874951441714700,62457191688320827-54874951441714704r1471405654.m3u8.mp4,22555
1091,1111,62458253094130200,62458251867865400,31045571313558700,62458251867865465-31045571313558736r1471404450.m3u8.mp4,46328
1092,1113,62462013193298500,62461998092264200,53604774286737900,62461998092264290-53604774286737927r1471406250.m3u8.mp4,14311
