group 00107, 1 videos, 2516 frames, use time 0.416065 seconds
group 00108, 1 videos, 3278 frames, use time 0.825553 seconds
group 00109, 1 videos, 63107 frames, use time 6.991455 seconds
group 00110, 1 videos, 5778 frames, use time 0.528168 seconds
group 00111, 1 videos, 6486 frames, use time 0.860648 seconds
group 00112, 1 videos, 91425 frames, use time 22.568931 seconds
group 00113, 1 videos, 50103 frames, use time 5.454793 seconds
group 00114, 1 videos, 722 frames, use time 0.168056 seconds
group 00115, 1 videos, 1678 frames, use time 0.615907 seconds
group 00116, 1 videos, 9779 frames, use time 1.684038 seconds
group 00117, 4 videos, 39610 frames, use time 6.569649 seconds
group 00118, 1 videos, 19384 frames, use time 3.100739 seconds
group 00119, 1 videos, 6522 frames, use time 0.586959 seconds
group 00120, 1 videos, 805 frames, use time 0.077102 seconds
group 00121, 1 videos, 666 frames, use time 0.211787 seconds
group 00122, 1 videos, 324 frames, use time 0.052250 seconds
group 00123, 1 videos, 86028 frames, use time 10.198754 seconds
group 00124, 1 videos, 980 frames, use time 0.149664 seconds
group 00125, 1 videos, 1592 frames, use time 0.149981 seconds
group 00126, 1 videos, 63543 frames, use time 6.503305 seconds
group 00127, 1 videos, 50454 frames, use time 4.067775 seconds
group 00128, 1 videos, 131899 frames, use time 16.335840 seconds
group 00129, 2 videos, 844 frames, use time 0.194932 seconds
group 00130, 1 videos, 948 frames, use time 0.184708 seconds
group 00131, 1 videos, 6332 frames, use time 0.571968 seconds
group 00132, 1 videos, 88325 frames, use time 10.137413 seconds
group 00133, 3 videos, 7639 frames, use time 1.077200 seconds
group 00134, 4 videos, 87871 frames, use time 12.422385 seconds
group 00135, 1 videos, 57243 frames, use time 6.006109 seconds
group 00136, 7 videos, 11628 frames, use time 2.333481 seconds
group 00137, 5 videos, 21832 frames, use time 6.318596 seconds
group 00138, 1 videos, 190766 frames, use time 27.296731 seconds
group 00139, 2 videos, 21061 frames, use time 2.615983 seconds
group 00140, 3 videos, 67748 frames, use time 9.671303 seconds
group 00141, 1 videos, 45051 frames, use time 4.666321 seconds
group 00142, 1 videos, 55126 frames, use time 5.838545 seconds
group 00143, 1 videos, 107132 frames, use time 12.537220 seconds
group 00144, 3 videos, 11651 frames, use time 2.083074 seconds
group 00145, 5 videos, 25313 frames, use time 7.042103 seconds
group 00146, 10 videos, 27917 frames, use time 3.223121 seconds
group 00147, 1 videos, 139696 frames, use time 16.842013 seconds
group 00148, 1 videos, 90019 frames, use time 10.244226 seconds
group 00149, 1 videos, 104645 frames, use time 11.876884 seconds
group 00150, 2 videos, 36342 frames, use time 10.588514 seconds
group 00151, 1 videos, 5458 frames, use time 0.570735 seconds
group 00152, 1 videos, 114960 frames, use time 19.263156 seconds
group 00153, 1 videos, 38317 frames, use time 3.696759 seconds
group 00154, 1 videos, 153209 frames, use time 20.598697 seconds
group 00155, 1 videos, 1680 frames, use time 0.643431 seconds
group 00156, 1 videos, 742 frames, use time 0.084884 seconds
group 00157, 1 videos, 14944 frames, use time 1.494057 seconds
group 00158, 1 videos, 232527 frames, use time 29.478233 seconds
group 00159, 1 videos, 45193 frames, use time 4.714896 seconds
group 00160, 4 videos, 5401 frames, use time 0.751347 seconds
group 00161, 3 videos, 52465 frames, use time 13.756107 seconds
group 00162, 1 videos, 99933 frames, use time 14.355836 seconds
group 00163, 26 videos, 139903 frames, use time 14.426469 seconds
group 00164, 1 videos, 4443 frames, use time 0.473687 seconds
group 00165, 1 videos, 60516 frames, use time 6.285719 seconds
group 00166, 20 videos, 52735 frames, use time 9.193960 seconds
group 00167, 1 videos, 1201 frames, use time 0.343977 seconds
group 00168, 1 videos, 106498 frames, use time 12.539057 seconds
group 00169, 1 videos, 8611 frames, use time 1.450047 seconds
group 00170, 2 videos, 38868 frames, use time 7.794798 seconds
group 00171, 1 videos, 915 frames, use time 0.149877 seconds
group 00172, 11 videos, 36597 frames, use time 3.532287 seconds
group 00173, 12 videos, 107287 frames, use time 12.549612 seconds
group 00174, 1 videos, 41529 frames, use time 4.151329 seconds
group 00175, 10 videos, 81921 frames, use time 9.941176 seconds
group 00176, 1 videos, 202804 frames, use time 23.836583 seconds
group 00177, 2 videos, 47841 frames, use time 8.866933 seconds
group 00178, 0 videos, 0 frames, use time 0.057737 seconds
group 00179, 1 videos, 72898 frames, use time 8.238920 seconds
group 00180, 1 videos, 65567 frames, use time 6.978139 seconds
group 00181, 1 videos, 107899 frames, use time 12.886971 seconds
group 00182, 1 videos, 3851 frames, use time 0.187426 seconds
group 00183, 0 videos, 0 frames, use time 0.144531 seconds
group 00184, 0 videos, 0 frames, use time 0.081957 seconds
group 00185, 1 videos, 93568 frames, use time 11.026906 seconds
group 00186, 1 videos, 28256 frames, use time 2.823759 seconds
group 00187, 1 videos, 50841 frames, use time 4.899733 seconds
group 00188, 3 videos, 14577 frames, use time 5.406951 seconds
group 00189, 0 videos, 0 frames, use time 0.236264 seconds
group 00190, 1 videos, 32866 frames, use time 3.198247 seconds
group 00191, 1 videos, 156193 frames, use time 18.258263 seconds
group 00192, 2 videos, 89007 frames, use time 23.153337 seconds
group 00193, 1 videos, 94543 frames, use time 16.234823 seconds
group 00194, 1 videos, 46447 frames, use time 4.861237 seconds
group 00195, 7 videos, 34952 frames, use time 4.731917 seconds
group 00196, 1 videos, 91854 frames, use time 11.376283 seconds
group 00197, 1 videos, 198716 frames, use time 26.802450 seconds
group 00198, 4 videos, 9649 frames, use time 1.891975 seconds
group 00199, 1 videos, 1781 frames, use time 0.238367 seconds
group 00200, 1 videos, 101605 frames, use time 11.885912 seconds
group 00201, 1 videos, 65769 frames, use time 7.126130 seconds
group 00202, 4 videos, 148100 frames, use time 30.215027 seconds
group 00203, 2 videos, 18244 frames, use time 2.447051 seconds
group 00204, 1 videos, 93125 frames, use time 17.042106 seconds
group 00205, 1 videos, 48824 frames, use time 5.502347 seconds
group 00206, 4 videos, 18327 frames, use time 5.071777 seconds
group 00207, 1 videos, 20878 frames, use time 3.944620 seconds
group 00208, 2 videos, 72397 frames, use time 15.418054 seconds
group 00209, 1 videos, 12261 frames, use time 3.636824 seconds
group 00210, 1 videos, 2243 frames, use time 0.226198 seconds
group 00211, 1 videos, 92359 frames, use time 8.696312 seconds
group 00212, 1 videos, 1617 frames, use time 0.170935 seconds
group 00213, 1 videos, 37557 frames, use time 3.893309 seconds
group 00214, 6 videos, 83569 frames, use time 9.132299 seconds
group 00215, 1 videos, 17730 frames, use time 1.752274 seconds
group 00216, 1 videos, 52256 frames, use time 5.578381 seconds
group 00217, 1 videos, 20829 frames, use time 5.932864 seconds
group 00218, 1 videos, 133275 frames, use time 15.676856 seconds
group 00219, 2 videos, 12964 frames, use time 1.572314 seconds
group 00220, 2 videos, 53381 frames, use time 6.012392 seconds
group 00221, 1 videos, 10657 frames, use time 1.922212 seconds
group 00222, 2 videos, 43699 frames, use time 8.611214 seconds
group 00223, 1 videos, 62059 frames, use time 6.700124 seconds
group 00224, 1 videos, 24282 frames, use time 4.607439 seconds
group 00225, 1 videos, 4261 frames, use time 0.476198 seconds
group 00226, 1 videos, 172328 frames, use time 22.594096 seconds
group 00227, 2 videos, 6520 frames, use time 1.051120 seconds
group 00228, 1 videos, 17242 frames, use time 3.117154 seconds
group 00229, 2 videos, 1913 frames, use time 0.509704 seconds
group 00230, 5 videos, 8260 frames, use time 1.798639 seconds
group 00231, 2 videos, 60056 frames, use time 11.242519 seconds
group 00232, 1 videos, 45301 frames, use time 7.409571 seconds
group 00233, 1 videos, 649 frames, use time 0.302642 seconds
group 00234, 1 videos, 22202 frames, use time 3.364327 seconds
group 00235, 2 videos, 11923 frames, use time 2.853463 seconds
group 00236, 1 videos, 5161 frames, use time 0.608130 seconds
group 00237, 2 videos, 11269 frames, use time 0.771396 seconds
group 00238, 1 videos, 3110 frames, use time 0.310663 seconds
group 00239, 1 videos, 25870 frames, use time 3.701415 seconds
group 00240, 6 videos, 44289 frames, use time 5.413430 seconds
group 00241, 7 videos, 78830 frames, use time 10.504221 seconds
group 00242, 2 videos, 42134 frames, use time 7.928548 seconds
group 00243, 1 videos, 51834 frames, use time 6.438440 seconds
group 00244, 7 videos, 24214 frames, use time 2.984325 seconds
group 00245, 1 videos, 220319 frames, use time 31.783090 seconds
group 00246, 1 videos, 182779 frames, use time 26.042493 seconds
group 00247, 2 videos, 23687 frames, use time 2.926315 seconds
group 00248, 1 videos, 146496 frames, use time 22.591603 seconds
group 00249, 1 videos, 114684 frames, use time 15.534251 seconds
group 00250, 1 videos, 12764 frames, use time 1.098227 seconds
group 00251, 1 videos, 38901 frames, use time 3.908144 seconds
group 00252, 1 videos, 47654 frames, use time 4.979512 seconds
group 00253, 17 videos, 199316 frames, use time 19.449632 seconds
group 00254, 1 videos, 155655 frames, use time 23.866739 seconds
group 00255, 1 videos, 3020 frames, use time 0.307325 seconds
group 00256, 1 videos, 29941 frames, use time 2.454119 seconds
group 00257, 2 videos, 20223 frames, use time 2.730120 seconds
group 00258, 1 videos, 115394 frames, use time 12.672429 seconds
group 00259, 4 videos, 96060 frames, use time 14.927735 seconds
group 00260, 2 videos, 20699 frames, use time 2.421957 seconds
group 00261, 2 videos, 20355 frames, use time 3.115323 seconds
group 00262, 1 videos, 100310 frames, use time 12.049618 seconds
group 00263, 2 videos, 10649 frames, use time 1.717268 seconds
group 00264, 1 videos, 85003 frames, use time 9.769452 seconds
group 00265, 3 videos, 230187 frames, use time 28.995672 seconds
group 00266, 1 videos, 3823 frames, use time 0.792474 seconds
group 00267, 1 videos, 110724 frames, use time 14.501124 seconds
group 00268, 2 videos, 133083 frames, use time 13.924595 seconds
group 00269, 5 videos, 6847 frames, use time 1.121169 seconds
group 00270, 2 videos, 15690 frames, use time 1.442058 seconds
group 00271, 1 videos, 1208 frames, use time 0.177544 seconds
group 00272, 4 videos, 10844 frames, use time 1.064102 seconds
group 00273, 1 videos, 11083 frames, use time 1.201667 seconds
group 00274, 1 videos, 4154 frames, use time 0.678662 seconds
group 00275, 1 videos, 453 frames, use time 0.114855 seconds
group 00276, 3 videos, 30962 frames, use time 3.352070 seconds
group 00277, 1 videos, 2570 frames, use time 0.359940 seconds
group 00278, 1 videos, 149045 frames, use time 22.669450 seconds
group 00279, 2 videos, 7263 frames, use time 1.334715 seconds
group 00280, 1 videos, 672 frames, use time 0.148570 seconds
group 00281, 3 videos, 9058 frames, use time 1.432020 seconds
group 00282, 3 videos, 5104 frames, use time 0.857619 seconds
group 00283, 1 videos, 112668 frames, use time 13.730027 seconds
group 00284, 1 videos, 15039 frames, use time 2.128780 seconds
group 00285, 2 videos, 1710 frames, use time 0.386771 seconds
group 00286, 6 videos, 51033 frames, use time 6.403792 seconds
group 00287, 2 videos, 1216 frames, use time 0.258751 seconds
group 00288, 1 videos, 57442 frames, use time 11.077035 seconds
group 00289, 1 videos, 3289 frames, use time 0.600230 seconds
group 00290, 1 videos, 2975 frames, use time 0.293683 seconds
group 00291, 1 videos, 195787 frames, use time 25.541856 seconds
group 00292, 0 videos, 0 frames, use time 0.022422 seconds
group 00293, 1 videos, 4689 frames, use time 0.330210 seconds
group 00294, 1 videos, 1718 frames, use time 0.239337 seconds
group 00295, 0 videos, 0 frames, use time 0.057111 seconds
group 00296, 1 videos, 19394 frames, use time 4.792549 seconds
group 00297, 1 videos, 34521 frames, use time 2.935172 seconds
group 00298, 4 videos, 34423 frames, use time 7.301357 seconds
group 00299, 1 videos, 235 frames, use time 0.120753 seconds
group 00300, 2 videos, 31191 frames, use time 4.668719 seconds
group 00301, 1 videos, 12976 frames, use time 2.788499 seconds
group 00302, 2 videos, 3882 frames, use time 1.249479 seconds
group 00303, 1 videos, 42105 frames, use time 5.169197 seconds
group 00304, 1 videos, 610 frames, use time 0.098656 seconds
group 00305, 2 videos, 45910 frames, use time 7.950006 seconds
group 00306, 2 videos, 26485 frames, use time 5.666265 seconds
group 00307, 2 videos, 39018 frames, use time 8.390947 seconds
group 00308, 2 videos, 15878 frames, use time 2.186951 seconds
group 00309, 1 videos, 14866 frames, use time 2.904442 seconds
group 00310, 2 videos, 39068 frames, use time 5.306843 seconds
group 00311, 1 videos, 43843 frames, use time 7.981397 seconds
group 00312, 5 videos, 4223 frames, use time 0.828913 seconds
group 00313, 1 videos, 37164 frames, use time 4.037536 seconds
group 00314, 4 videos, 186796 frames, use time 19.306355 seconds
group 00315, 1 videos, 34045 frames, use time 2.838868 seconds
group 00316, 5 videos, 139220 frames, use time 14.219878 seconds
group 00317, 4 videos, 9049 frames, use time 1.298611 seconds
group 00318, 3 videos, 3596 frames, use time 0.494072 seconds
group 00319, 0 videos, 0 frames, use time 0.090021 seconds
group 00320, 1 videos, 26619 frames, use time 2.579397 seconds
group 00321, 3 videos, 37533 frames, use time 3.734879 seconds
group 00322, 1 videos, 84626 frames, use time 10.057927 seconds
group 00323, 0 videos, 0 frames, use time 0.035500 seconds
group 00324, 1 videos, 50335 frames, use time 5.141146 seconds
group 00325, 1 videos, 169 frames, use time 0.119742 seconds
group 00326, 1 videos, 35579 frames, use time 3.184443 seconds
group 00327, 1 videos, 7139 frames, use time 0.738842 seconds
group 00328, 20 videos, 21790 frames, use time 3.781612 seconds
group 00329, 5 videos, 1623 frames, use time 0.364709 seconds
group 00330, 6 videos, 126148 frames, use time 13.314151 seconds
group 00331, 1 videos, 3838 frames, use time 0.403439 seconds
group 00332, 1 videos, 40074 frames, use time 12.353595 seconds
group 00333, 1 videos, 16685 frames, use time 1.387511 seconds
group 00334, 1 videos, 1014 frames, use time 0.345658 seconds
group 00335, 1 videos, 113576 frames, use time 17.540982 seconds
group 00336, 1 videos, 488 frames, use time 0.065783 seconds
group 00337, 1 videos, 2067 frames, use time 0.240599 seconds
group 00338, 5 videos, 85686 frames, use time 8.669295 seconds
group 00339, 3 videos, 64203 frames, use time 6.599934 seconds
group 00340, 15 videos, 322921 frames, use time 36.536977 seconds
group 00341, 11 videos, 74269 frames, use time 9.222770 seconds
group 00342, 12 videos, 50227 frames, use time 8.356637 seconds
group 00343, 1 videos, 881 frames, use time 0.330166 seconds
group 00344, 3 videos, 47588 frames, use time 9.339949 seconds
group 00345, 3 videos, 22306 frames, use time 5.867927 seconds
group 00346, 1 videos, 1851 frames, use time 0.251627 seconds
group 00347, 1 videos, 39545 frames, use time 12.098849 seconds
group 00348, 1 videos, 844 frames, use time 0.097462 seconds
group 00349, 1 videos, 28432 frames, use time 2.853295 seconds
group 00350, 0 videos, 0 frames, use time 0.030619 seconds
group 00351, 0 videos, 0 frames, use time 0.056408 seconds
group 00352, 1 videos, 701 frames, use time 0.082998 seconds
group 00353, 1 videos, 29038 frames, use time 5.013286 seconds
group 00354, 2 videos, 18862 frames, use time 1.761760 seconds
group 00355, 1 videos, 20113 frames, use time 2.038093 seconds
group 00356, 7 videos, 202842 frames, use time 23.320307 seconds
group 00357, 4 videos, 88262 frames, use time 9.285804 seconds
group 00358, 1 videos, 442 frames, use time 0.081499 seconds
group 00359, 2 videos, 74746 frames, use time 13.371055 seconds
group 00360, 1 videos, 32863 frames, use time 3.341494 seconds
group 00361, 7 videos, 52553 frames, use time 7.320975 seconds
group 00362, 7 videos, 267294 frames, use time 28.918356 seconds
group 00363, 2 videos, 15312 frames, use time 1.556196 seconds
group 00364, 1 videos, 11718 frames, use time 2.681918 seconds
group 00365, 1 videos, 121685 frames, use time 15.004692 seconds
group 00366, 8 videos, 45209 frames, use time 9.733574 seconds
group 00367, 3 videos, 57840 frames, use time 12.138089 seconds
group 00368, 1 videos, 95591 frames, use time 11.369010 seconds
group 00369, 6 videos, 89397 frames, use time 9.844658 seconds
group 00370, 1 videos, 139621 frames, use time 15.274668 seconds
group 00371, 3 videos, 45908 frames, use time 4.567752 seconds
group 00372, 2 videos, 45304 frames, use time 4.521843 seconds
group 00373, 0 videos, 0 frames, use time 0.029572 seconds
group 00374, 1 videos, 9188 frames, use time 0.899544 seconds
group 00375, 5 videos, 36875 frames, use time 6.203319 seconds
group 00376, 1 videos, 20969 frames, use time 2.033398 seconds
group 00377, 1 videos, 11158 frames, use time 1.165568 seconds
group 00378, 1 videos, 1054 frames, use time 0.113914 seconds
group 00379, 2 videos, 47836 frames, use time 15.712287 seconds
group 00380, 4 videos, 186974 frames, use time 19.937856 seconds
group 00381, 3 videos, 4007 frames, use time 0.629877 seconds
group 00382, 1 videos, 26452 frames, use time 2.692428 seconds
group 00383, 3 videos, 47217 frames, use time 12.887167 seconds
group 00384, 1 videos, 37137 frames, use time 8.663530 seconds
group 00385, 4 videos, 39911 frames, use time 6.743289 seconds
