Group_ID,Video_Index,Room,Session,Performer,Video_Name, Frame_Num
2586,1,64280297819620600,64280284794731800,55579094410080600,64280284794731878-55579094410080624r1472273263.m3u8.mp4,13056
2586,2,64280297819620600,64280284794731800,55579094410080600,64280284794731878-55579094410080624r1472274169.m3u8.mp4,790
2587,1,64282478836729100,64282451087736100,55579094410080600,64282451087736177-55579094410080624r1472274296.m3u8.mp4,31391
2588,1,64283660823053600,64283654001543400,53476616822602900,64283654001543412-53476616822602957r1472274869.m3u8.mp4,9781
2589,1,64284630600664300,64284629468728000,52553573812156600,64284629468728029-52553573812156601r1472275334.m3u8.mp4,49503
2590,1,64286545071859000,64286540888561400,43445978767789100,64286540888561435-43445978767789165r1472276250.m3u8.mp4,11420
2590,2,64286545071859000,64286540888561400,43445978767789100,64286540888561435-43445978767789165r1472277039.m3u8.mp4,2489
2590,3,64286545071859000,64286540888561400,43445978767789100,64286540888561435-43445978767789165r1472277312.m3u8.mp4,754
2590,4,64286545071859000,64286540888561400,43445978767789100,64286540888561435-43445978767789165r1472277405.m3u8.mp4,7658
2590,5,64286545071859000,64286540888561400,43445978767789100,64286540888561435-43445978767789165r1472277955.m3u8.mp4,583
2590,6,64286545071859000,64286540888561400,43445978767789100,64286540888561435-43445978767789165r1472278008.m3u8.mp4,10625
2590,7,64286545071859000,64286540888561400,43445978767789100,64286540888561435-43445978767789165r1472278738.m3u8.mp4,10156
2591,1,64287176593532300,64287171894329500,50723234246563800,64287171894329582-50723234246563853r1472276547.m3u8.mp4,119259
2592,1,64290423288907100,64290422819674400,52553573812156600,64290422819674445-52553573812156601r1472278097.m3u8.mp4,255806
2593,1,64291226466665800,64291195987184300,51461344183985700,64291195987184379-51461344183985778r1472278465.m3u8.mp4,13895
2594,1,64292195585770900,64292194669838600,53436506613754900,64292194669838600-53436506613754911r1472278942.m3u8.mp4,36619
2595,1,64301155864831600,64301150721028000,54359981935315800,64301150721028057-54359981935315870r1472283232.m3u8.mp4,708
2595,2,64301155864831600,64301150721028000,54359981935315800,64301150721028057-54359981935315870r1472283292.m3u8.mp4,2539
2596,1,64301348062516400,64301343384290700,52333209270099800,64301343384290743-52333209270099838r1472283304.m3u8.mp4,54409
2597,1,64303519963305200,64303515966658400,43445978767789100,64303515966658450-43445978767789165r1472284340.m3u8.mp4,1441
2598,1,64303525862593800,64303510394517900,53050087235921300,64303510394517997-53050087235921363r1472284349.m3u8.mp4,2930
2599,1,64304639769077400,64304636047153000,53976783602597700,64304636047153052-53976783602597773r1472284874.m3u8.mp4,123820
2599,2,64304639769077400,64304636047153000,53976783602597700,64304636047153052-53976783602597773r1472293171.m3u8.mp4,23003
2600,1,64304997306230400,64304993263441800,43445978767789100,64304993263441823-43445978767789165r1472285044.m3u8.mp4,1607
2601,1,64305406894696100,64305394364733800,53050087235921300,64305394364733878-53050087235921363r1472285236.m3u8.mp4,1840
2602,1,64305541154367100,64305536574690700,48513860098858600,64305536574690767-48513860098858670r1472285304.m3u8.mp4,164
2602,2,64305541154367100,64305536574690700,48513860098858600,64305536574690767-48513860098858670r1472285336.m3u8.mp4,507
2602,3,64305541154367100,64305536574690700,48513860098858600,64305536574690767-48513860098858670r1472285402.m3u8.mp4,484
2603,1,64305603869697700,64305599799642900,43445978767789100,64305599799642991-43445978767789165r1472285334.m3u8.mp4,1691
2604,1,64305954289108500,64305950237939600,43445978767789100,64305950237939625-43445978767789165r1472285501.m3u8.mp4,18904
2604,2,64305954289108500,64305950237939600,43445978767789100,64305950237939625-43445978767789165r1472286778.m3u8.mp4,13203
2605,1,64306010819937800,64306006712135600,48513860098858600,64306006712135676-48513860098858670r1472285531.m3u8.mp4,1420
2606,1,64306778432095800,64306774722755600,42714514719771000,64306774722755600-42714514719771059r1472285894.m3u8.mp4,58203
2607,1,64307204885857800,64307204028648300,52683441243695100,64307204028648324-52683441243695171r1472286099.m3u8.mp4,103959
2608,1,64307625096398400,64307615001226700,50723234246563800,64307615001226760-50723234246563853r1472286295.m3u8.mp4,26243
2609,1,64311698572994300,64311669406321500,53604774286737900,64311669406321568-53604774286737927r1472288228.m3u8.mp4,1577
2609,2,64311698572994300,64311669406321500,53604774286737900,64311669406321568-53604774286737927r1472288435.m3u8.mp4,39211
2610,1,64311762762622700,64311757318936500,43445978767789100,64311757318936517-43445978767789165r1472288270.m3u8.mp4,656
2610,2,64311762762622700,64311757318936500,43445978767789100,64311757318936517-43445978767789165r1472288362.m3u8.mp4,486
2610,3,64311762762622700,64311757318936500,43445978767789100,64311757318936517-43445978767789165r1472288446.m3u8.mp4,2381
2610,4,64311762762622700,64311757318936500,43445978767789100,64311757318936517-43445978767789165r1472288615.m3u8.mp4,285
2610,5,64311762762622700,64311757318936500,43445978767789100,64311757318936517-43445978767789165r1472288671.m3u8.mp4,7457
2611,1,64312195031778900,64312182948514700,52172083005756100,64312182948514726-52172083005756174r1472288473.m3u8.mp4,18118
2612,1,64320222109657000,64320217200727100,51289441142053900,64320217200727106-51289441142053904r1472292304.m3u8.mp4,21892
2613,1,64322633706530800,64322626836772900,48592486907513100,64322626836772995-48592486907513125r1472293453.m3u8.mp4,3862
2614,1,64322789944354800,64322781138923100,54173263735042100,64322781138923139-54173263735042125r1472293526.m3u8.mp4,17862
2615,1,64323719567796200,64323706211552200,55204569197583700,64323706211552247-55204569197583765r1472293967.m3u8.mp4,22864
2616,1,64323759222843400,64323753969992100,43445978767789100,64323753969992176-43445978767789165r1472293990.m3u8.mp4,399
2616,2,64323759222843400,64323753969992100,43445978767789100,64323753969992176-43445978767789165r1472294057.m3u8.mp4,584
2616,3,64323759222843400,64323753969992100,43445978767789100,64323753969992176-43445978767789165r1472294114.m3u8.mp4,358
2616,4,64323759222843400,64323753969992100,43445978767789100,64323753969992176-43445978767789165r1472294142.m3u8.mp4,5633
2616,5,64323759222843400,64323753969992100,43445978767789100,64323753969992176-43445978767789165r1472294651.m3u8.mp4,107
2616,6,64323759222843400,64323753969992100,43445978767789100,64323753969992176-43445978767789165r1472294731.m3u8.mp4,136
2616,7,64323759222843400,64323753969992100,43445978767789100,64323753969992176-43445978767789165r1472294815.m3u8.mp4,97
2617,1,64323888145262600,64323883800479700,54874951441714700,64323883800479748-54874951441714704r1472294052.m3u8.mp4,45123
2618,1,64323916505049100,64323914244832400,55256439035277500,64323914244832438-55256439035277555r1472294067.m3u8.mp4,1739
2619,1,64324277779318500,64324260916630600,55054874794016300,64324260916630632-55054874794016376r1472294232.m3u8.mp4,45464
2620,1,64324780709922500,64324776423865500,31131810794463100,64324776423865530-31131810794463145r1472294478.m3u8.mp4,8077
2620,2,64324780709922500,64324776423865500,31131810794463100,64324776423865530-31131810794463145r1472295034.m3u8.mp4,1203
2620,3,64324780709922500,64324776423865500,31131810794463100,64324776423865530-31131810794463145r1472295171.m3u8.mp4,1559
2621,1,64325701256893700,64325688638851000,45566142774776900,64325688638851082-45566142774776906r1472294913.m3u8.mp4,137
2622,1,64326203862439200,64326196720064000,43445978767789100,64326196720064055-43445978767789165r1472295155.m3u8.mp4,23564
2622,2,64326203862439200,64326196720064000,43445978767789100,64326196720064055-43445978767789165r1472296992.m3u8.mp4,6490
2623,1,64329722128525300,64329719478237300,55256439035277500,64329719478237346-55256439035277555r1472296835.m3u8.mp4,1485
2624,1,64330891374643000,64330890798454900,52553573812156600,64330890798454927-52553573812156601r1472297393.m3u8.mp4,80654
2624,2,64330891374643000,64330890798454900,52553573812156600,64330890798454927-52553573812156601r1472300728.m3u8.mp4,79725
2625,1,64331212914190400,64331207350959300,55037828121249800,64331207350959331-55037828121249827r1472297544.m3u8.mp4,21353
2626,1,64331416662984500,64331413081571300,54333967911894200,64331413081571367-54333967911894250r1472297642.m3u8.mp4,12442
2626,2,64331416662984500,64331413081571300,54333967911894200,64331413081571367-54333967911894250r1472298690.m3u8.mp4,2512
2626,3,64331416662984500,64331413081571300,54333967911894200,64331413081571367-54333967911894250r1472298936.m3u8.mp4,222
2627,1,64332080950569000,64332079910895600,31045571313558700,64332079910895662-31045571313558736r1472297960.m3u8.mp4,51144
2628,1,64333516199454800,64333511791753400,50723234246563800,64333511791753408-50723234246563853r1472298643.m3u8.mp4,37739
2628,2,64333516199454800,64333511791753400,50723234246563800,64333511791753408-50723234246563853r1472300297.m3u8.mp4,103777
2629,1,64334085221799400,64334080449198200,49046498404472600,64334080449198276-49046498404472696r1472298914.m3u8.mp4,13373
2630,1,64335793949788100,64335793478451200,47682196185552100,64335793478451272-47682196185552116r1472299731.m3u8.mp4,101676
2631,1,64337215718189200,64337201491622100,52052212664243900,64337201491622121-52052212664243901r1472300403.m3u8.mp4,1181
2631,2,64337215718189200,64337201491622100,52052212664243900,64337201491622121-52052212664243901r1472300497.m3u8.mp4,5918
2632,1,64339375510022300,64339371093923000,28280119248120200,64339371093923058-28280119248120260r1472301437.m3u8.mp4,60231
2633,1,64339951350212800,64339946617452800,36556702771821500,64339946617452808-36556702771821511r1472301712.m3u8.mp4,1962
2633,2,64339951350212800,64339946617452800,36556702771821500,64339946617452808-36556702771821511r1472302005.m3u8.mp4,31263
2634,1,64340117062961100,64340116453213300,49821859146901500,64340116453213391-49821859146901565r1472301792.m3u8.mp4,164787
2635,1,64340898249987700,64340892328151100,51614244159886000,64340892328151166-51614244159886004r1472302280.m3u8.mp4,544
2635,2,64340898249987700,64340892328151100,51614244159886000,64340892328151166-51614244159886004r1472302365.m3u8.mp4,4404
2635,3,64340898249987700,64340892328151100,51614244159886000,64340892328151166-51614244159886004r1472303057.m3u8.mp4,589
2635,4,64340898249987700,64340892328151100,51614244159886000,64340892328151166-51614244159886004r1472303153.m3u8.mp4,667
2635,5,64340898249987700,64340892328151100,51614244159886000,64340892328151166-51614244159886004r1472303263.m3u8.mp4,262
2635,6,64340898249987700,64340892328151100,51614244159886000,64340892328151166-51614244159886004r1472303323.m3u8.mp4,498
2636,1,64341561101019300,64341560612898000,53387635432892200,64341560612898012-53387635432892295r1472302481.m3u8.mp4,88293
2637,1,64341729602988300,64341719293908600,53849093989999100,64341719293908656-53849093989999127r1472302557.m3u8.mp4,1451
2637,2,64341729602988300,64341719293908600,53849093989999100,64341719293908656-53849093989999127r1472302945.m3u8.mp4,419
2638,1,64342672126011600,64342659107401500,50163229720061900,64342659107401507-50163229720061981r1472303005.m3u8.mp4,80146
2639,1,64342905138473200,64342892333782700,53604774286737900,64342892333782721-53604774286737927r1472303116.m3u8.mp4,61936
2640,1,64343143653861600,64343143318830400,50572765006146200,64343143318830407-50572765006146241r1472303236.m3u8.mp4,2365
2641,1,64343813607934000,64343808902452900,37171206849282200,64343808902452935-37171206849282286r1472303553.m3u8.mp4,435
2641,2,64343813607934000,64343808902452900,37171206849282200,64343808902452935-37171206849282286r1472303618.m3u8.mp4,1689
2641,3,64343813607934000,64343808902452900,37171206849282200,64343808902452935-37171206849282286r1472303854.m3u8.mp4,391
2641,4,64343813607934000,64343808902452900,37171206849282200,64343808902452935-37171206849282286r1472303914.m3u8.mp4,3422
2642,1,64343985104635900,64343981403686100,53976783602597700,64343981403686123-53976783602597773r1472303635.m3u8.mp4,64122
2643,1,64344625115588900,64344601080649400,54704420952224300,64344601080649421-54704420952224311r1472303931.m3u8.mp4,4957
2643,2,64344625115588900,64344601080649400,54704420952224300,64344601080649421-54704420952224311r1472304314.m3u8.mp4,161
2643,3,64344625115588900,64344601080649400,54704420952224300,64344601080649421-54704420952224311r1472304362.m3u8.mp4,15348
2643,4,64344625115588900,64344601080649400,54704420952224300,64344601080649421-54704420952224311r1472305442.m3u8.mp4,12108
2643,5,64344625115588900,64344601080649400,54704420952224300,64344601080649421-54704420952224311r1472306349.m3u8.mp4,5557
2643,6,64344625115588900,64344601080649400,54704420952224300,64344601080649421-54704420952224311r1472306805.m3u8.mp4,1492
2643,7,64344625115588900,64344601080649400,54704420952224300,64344601080649421-54704420952224311r1472307233.m3u8.mp4,349
2643,8,64344625115588900,64344601080649400,54704420952224300,64344601080649421-54704420952224311r1472307318.m3u8.mp4,173
2643,9,64344625115588900,64344601080649400,54704420952224300,64344601080649421-54704420952224311r1472307340.m3u8.mp4,537
2643,10,64344625115588900,64344601080649400,54704420952224300,64344601080649421-54704420952224311r1472307480.m3u8.mp4,504
2643,11,64344625115588900,64344601080649400,54704420952224300,64344601080649421-54704420952224311r1472307630.m3u8.mp4,21260
2643,12,64344625115588900,64344601080649400,54704420952224300,64344601080649421-54704420952224311r1472309169.m3u8.mp4,2620
2644,1,64345625482250300,64345625164011200,51663525071820900,64345625164011224-51663525071820946r1472304419.m3u8.mp4,144470
2645,1,64346868917229200,64346868477348000,47682196185552100,64346868477348019-47682196185552116r1472305012.m3u8.mp4,28359
