Group_ID,Video_Index,Room,Session,Performer,Video_Name
1189,1,62410591552635200,62410585872026300,45566142774776900,62410585872026350-45566142774776906r1471381721.m3u8.mp4
1190,1,62412872165597500,62412853275020000,54307639642834400,62412853275020015-54307639642834447r1471382813.m3u8.mp4
1190,2,62412872165597500,62412853275020000,54307639642834400,62412853275020015-54307639642834447r1471382839.m3u8.mp4
1190,3,62412872165597500,62412853275020000,54307639642834400,62412853275020015-54307639642834447r1471382843.m3u8.mp4
1190,4,62412872165597500,62412853275020000,54307639642834400,62412853275020015-54307639642834447r1471382909.m3u8.mp4
1190,5,62412872165597500,62412853275020000,54307639642834400,62412853275020015-54307639642834447r1471382981.m3u8.mp4
1190,6,62412872165597500,62412853275020000,54307639642834400,62412853275020015-54307639642834447r1471383024.m3u8.mp4
1190,7,62412872165597500,62412853275020000,54307639642834400,62412853275020015-54307639642834447r1471383091.m3u8.mp4
1190,8,62412872165597500,62412853275020000,54307639642834400,62412853275020015-54307639642834447r1471383117.m3u8.mp4
1190,9,62412872165597500,62412853275020000,54307639642834400,62412853275020015-54307639642834447r1471383187.m3u8.mp4
1190,10,62412872165597500,62412853275020000,54307639642834400,62412853275020015-54307639642834447r1471383206.m3u8.mp4
1191,1,62420237711540600,62420232548916900,43445978767789100,62420232548916999-43445978767789165r1471386321.m3u8.mp4
1192,1,62424070095344000,62424054853814000,53604774286737900,62424054853814028-53604774286737927r1471388143.m3u8.mp4
1192,2,62424070095344000,62424054853814000,53604774286737900,62424054853814028-53604774286737927r1471390592.m3u8.mp4
1192,3,62424070095344000,62424054853814000,53604774286737900,62424054853814028-53604774286737927r1471390605.m3u8.mp4
1193,1,62426829211279700,62426828679168200,51613980927465700,62426828679168277-51613980927465734r1471389466.m3u8.mp4
1194,1,62427211496919400,62427207758264000,28385471671136300,62427207758264036-28385471671136325r1471389647.m3u8.mp4
1194,2,62427211496919400,62427207758264000,28385471671136300,62427207758264036-28385471671136325r1471390054.m3u8.mp4
1194,3,62427211496919400,62427207758264000,28385471671136300,62427207758264036-28385471671136325r1471391817.m3u8.mp4
1195,1,62427412838187400,62427412576607400,31045571313558700,62427412576607481-31045571313558736r1471389744.m3u8.mp4
1196,1,62428360656523600,62428330762191100,55579094410080600,62428330762191128-55579094410080624r1471390182.m3u8.mp4
1197,1,62431877372805500,62431877063002800,31045571313558700,62431877063002875-31045571313558736r1471391873.m3u8.mp4
1198,1,62432016940368200,62432016525707000,37297144169742700,62432016525707027-37297144169742716r1471391940.m3u8.mp4
1199,1,62432132931748200,62432132414326500,53782875536890400,62432132414326548-53782875536890474r1471391995.m3u8.mp4
1200,1,62434396083823000,62434368561356000,55579094410080600,62434368561356037-55579094410080624r1471393061.m3u8.mp4
1200,2,62434396083823000,62434368561356000,55579094410080600,62434368561356037-55579094410080624r1471393400.m3u8.mp4
1200,3,62434396083823000,62434368561356000,55579094410080600,62434368561356037-55579094410080624r1471393920.m3u8.mp4
1201,1,62436425365692800,62436425187990700,53782875536890400,62436425187990793-53782875536890474r1471394042.m3u8.mp4
1201,2,62436425365692800,62436425187990700,53782875536890400,62436425187990793-53782875536890474r1471394409.m3u8.mp4
1202,1,62436933614674300,62436893339428100,55579094410080600,62436893339428103-55579094410080624r1471394265.m3u8.mp4
1202,2,62436933614674300,62436893339428100,55579094410080600,62436893339428103-55579094410080624r1471394394.m3u8.mp4
1202,3,62436933614674300,62436893339428100,55579094410080600,62436893339428103-55579094410080624r1471394425.m3u8.mp4
1202,4,62436933614674300,62436893339428100,55579094410080600,62436893339428103-55579094410080624r1471394486.m3u8.mp4
1202,5,62436933614674300,62436893339428100,55579094410080600,62436893339428103-55579094410080624r1471394534.m3u8.mp4
1202,6,62436933614674300,62436893339428100,55579094410080600,62436893339428103-55579094410080624r1471394564.m3u8.mp4
1202,7,62436933614674300,62436893339428100,55579094410080600,62436893339428103-55579094410080624r1471394580.m3u8.mp4
1202,8,62436933614674300,62436893339428100,55579094410080600,62436893339428103-55579094410080624r1471394641.m3u8.mp4
1202,9,62436933614674300,62436893339428100,55579094410080600,62436893339428103-55579094410080624r1471394740.m3u8.mp4
1202,10,62436933614674300,62436893339428100,55579094410080600,62436893339428103-55579094410080624r1471394790.m3u8.mp4
1202,11,62436933614674300,62436893339428100,55579094410080600,62436893339428103-55579094410080624r1471394829.m3u8.mp4
1202,12,62436933614674300,62436893339428100,55579094410080600,62436893339428103-55579094410080624r1471394852.m3u8.mp4
1202,13,62436933614674300,62436893339428100,55579094410080600,62436893339428103-55579094410080624r1471394909.m3u8.mp4
1203,1,62437091544900000,62437091335741200,31045571313558700,62437091335741219-31045571313558736r1471394359.m3u8.mp4
1204,1,62437653256573300,62437636586872600,55387440770191900,62437636586872615-55387440770191935r1471394619.m3u8.mp4
1205,1,62440776888983900,62440776671435500,31045571313558700,62440776671435585-31045571313558736r1471396117.m3u8.mp4
1206,1,62441945711481200,62441928372788000,50163229720061900,62441928372788039-50163229720061981r1471396666.m3u8.mp4
1207,1,62442068585714100,62442058505271500,48577107659329700,62442058505271590-48577107659329705r1471396728.m3u8.mp4
1208,1,62442183962628500,62442183428415200,52683441243695100,62442183428415284-52683441243695171r1471396788.m3u8.mp4
1209,1,62442294656602500,62442290548843200,51396800136877800,62442290548843267-51396800136877892r1471396839.m3u8.mp4
1209,2,62442294656602500,62442290548843200,51396800136877800,62442290548843267-51396800136877892r1471397195.m3u8.mp4
1210,1,62442378339258800,62442360323196700,48577107659329700,62442360323196714-48577107659329705r1471396872.m3u8.mp4
1210,2,62442378339258800,62442360323196700,48577107659329700,62442360323196714-48577107659329705r1471396931.m3u8.mp4
1211,1,62442783622271400,62442703381603000,55579094410080600,62442703381603076-55579094410080624r1471397119.m3u8.mp4
1211,2,62442783622271400,62442703381603000,55579094410080600,62442703381603076-55579094410080624r1471397250.m3u8.mp4
1211,3,62442783622271400,62442703381603000,55579094410080600,62442703381603076-55579094410080624r1471397324.m3u8.mp4
1211,4,62442783622271400,62442703381603000,55579094410080600,62442703381603076-55579094410080624r1471397384.m3u8.mp4
1211,5,62442783622271400,62442703381603000,55579094410080600,62442703381603076-55579094410080624r1471397482.m3u8.mp4
1211,6,62442783622271400,62442703381603000,55579094410080600,62442703381603076-55579094410080624r1471397599.m3u8.mp4
1211,7,62442783622271400,62442703381603000,55579094410080600,62442703381603076-55579094410080624r1471397707.m3u8.mp4
1211,8,62442783622271400,62442703381603000,55579094410080600,62442703381603076-55579094410080624r1471397717.m3u8.mp4
1211,9,62442783622271400,62442703381603000,55579094410080600,62442703381603076-55579094410080624r1471397804.m3u8.mp4
1211,10,62442783622271400,62442703381603000,55579094410080600,62442703381603076-55579094410080624r1471397930.m3u8.mp4
1211,11,62442783622271400,62442703381603000,55579094410080600,62442703381603076-55579094410080624r1471397966.m3u8.mp4
1211,12,62442783622271400,62442703381603000,55579094410080600,62442703381603076-55579094410080624r1471398073.m3u8.mp4
1211,13,62442783622271400,62442703381603000,55579094410080600,62442703381603076-55579094410080624r1471398088.m3u8.mp4
1211,14,62442783622271400,62442703381603000,55579094410080600,62442703381603076-55579094410080624r1471398112.m3u8.mp4
1211,15,62442783622271400,62442703381603000,55579094410080600,62442703381603076-55579094410080624r1471398136.m3u8.mp4
1211,16,62442783622271400,62442703381603000,55579094410080600,62442703381603076-55579094410080624r1471398148.m3u8.mp4
1211,17,62442783622271400,62442703381603000,55579094410080600,62442703381603076-55579094410080624r1471398247.m3u8.mp4
1211,18,62442783622271400,62442703381603000,55579094410080600,62442703381603076-55579094410080624r1471398337.m3u8.mp4
1212,1,62443235235566000,62443234730711800,53782875536890400,62443234730711886-53782875536890474r1471397289.m3u8.mp4
1213,1,62443616174838200,62443597942758200,55260010820676600,62443597942758224-55260010820676628r1471397462.m3u8.mp4
1214,1,62444318097908100,62444317278484700,31045571313558700,62444317278484778-31045571313558736r1471397805.m3u8.mp4
1215,1,62444835524022700,62444831674211100,55437783216430900,62444831674211154-55437783216430928r1471398050.m3u8.mp4
